match_id,round_number,t1_side,t2_side,atk_score,def_score,time_remaining_s,spike_planted,atk_loadout_value,def_loadout_value,atk_duelists_alive,atk_controllers_alive,atk_initiators_alive,atk_sentinels_alive,def_duelists_alive,def_controllers_alive,def_initiators_alive,def_sentinels_alive,round_winner
192476,1,ATK,DEF,0,0,100,0,3800,3950,1,1,0,2,0,2,2,1,DEF
192476,1,ATK,DEF,0,0,79,0,3800,3950,1,1,0,2,0,2,2,0,DEF
192476,1,ATK,DEF,0,0,77,0,3800,3950,0,1,0,2,0,2,2,0,DEF
192476,1,ATK,DEF,0,0,53,0,3800,3950,0,0,0,2,0,2,2,0,DEF
192476,1,ATK,DEF,0,0,45,1,3800,3950,0,0,0,2,0,2,2,0,DEF
192476,1,ATK,DEF,0,0,41,1,3800,3950,0,0,0,1,0,2,2,0,DEF
192476,1,ATK,DEF,0,0,34,1,3800,3950,0,0,0,1,0,1,2,0,DEF
192476,1,ATK,DEF,0,0,33,1,3800,3950,0,0,0,0,0,1,2,0,DEF
192476,1,ATK,DEF,0,0,16,1,3800,3950,0,0,0,0,0,1,2,0,DEF
192476,1,ATK,DEF,0,0,11,1,3800,3950,0,0,0,0,0,1,2,0,DEF
192476,2,ATK,DEF,0,1,100,0,3450,15950,1,1,0,2,0,2,2,1,DEF
192476,2,ATK,DEF,0,1,93,0,3450,15950,1,1,0,2,0,1,2,1,DEF
192476,2,ATK,DEF,0,1,81,0,3450,15950,1,1,0,1,0,1,2,1,DEF
192476,2,ATK,DEF,0,1,45,1,3450,15950,1,1,0,1,0,1,2,1,DEF
192476,2,ATK,DEF,0,1,39,1,3450,15950,0,1,0,1,0,1,2,1,DEF
192476,2,ATK,DEF,0,1,38,1,3450,15950,0,1,0,0,0,1,2,1,DEF
192476,2,ATK,DEF,0,1,38,1,3450,15950,0,1,0,0,0,1,2,0,DEF
192476,2,ATK,DEF,0,1,35,1,3450,15950,0,0,0,0,0,1,2,0,DEF
192476,2,ATK,DEF,0,1,10,1,3450,15950,0,0,0,0,0,1,2,0,DEF
192476,2,ATK,DEF,0,1,9,1,3450,15950,0,0,0,0,0,1,2,0,DEF
192476,3,ATK,DEF,0,2,100,0,22200,18850,1,1,0,2,0,2,2,1,DEF
192476,3,ATK,DEF,0,2,86,0,22200,18850,1,1,0,2,0,2,1,1,DEF
192476,3,ATK,DEF,0,2,38,0,22200,18850,1,1,0,1,0,2,1,1,DEF
192476,3,ATK,DEF,0,2,36,0,22200,18850,1,1,0,0,0,2,1,1,DEF
192476,3,ATK,DEF,0,2,32,0,22200,18850,1,1,0,0,0,2,0,1,DEF
192476,3,ATK,DEF,0,2,29,0,22200,18850,1,1,0,0,0,2,0,1,DEF
192476,3,ATK,DEF,0,2,20,0,22200,18850,1,0,0,0,0,2,0,1,DEF
192476,3,ATK,DEF,0,2,18,0,22200,18850,1,0,0,0,0,1,0,1,DEF
192476,3,ATK,DEF,0,2,11,0,22200,18850,0,0,0,0,0,1,0,1,DEF
192476,4,ATK,DEF,0,3,100,0,9150,22700,1,1,0,2,0,2,2,1,ATK
192476,4,ATK,DEF,0,3,81,0,9150,22700,1,1,0,2,0,2,1,1,ATK
192476,4,ATK,DEF,0,3,76,0,9150,22700,1,1,0,2,0,2,0,1,ATK
192476,4,ATK,DEF,0,3,74,0,9150,22700,1,1,0,2,0,1,0,1,ATK
192476,4,ATK,DEF,0,3,45,1,9150,22700,1,1,0,2,0,1,0,1,ATK
192476,4,ATK,DEF,0,3,40,1,9150,22700,1,1,0,2,0,0,0,1,ATK
192476,5,ATK,DEF,1,3,100,0,23850,20900,1,1,0,2,0,2,2,1,DEF
192476,5,ATK,DEF,1,3,74,0,23850,20900,1,1,0,2,0,2,2,1,DEF
192476,5,ATK,DEF,1,3,64,0,23850,20900,1,1,0,1,0,2,2,1,DEF
192476,5,ATK,DEF,1,3,45,1,23850,20900,1,1,0,1,0,2,2,1,DEF
192476,5,ATK,DEF,1,3,31,1,23850,20900,1,1,0,1,0,1,2,1,DEF
192476,5,ATK,DEF,1,3,31,1,23850,20900,1,1,0,0,0,1,2,1,DEF
192476,5,ATK,DEF,1,3,31,1,23850,20900,0,1,0,0,0,1,2,1,DEF
192476,5,ATK,DEF,1,3,24,1,23850,20900,0,1,0,0,0,1,1,1,DEF
192476,5,ATK,DEF,1,3,21,1,23850,20900,0,0,0,0,0,1,1,1,DEF
192476,5,ATK,DEF,1,3,10,1,23850,20900,0,0,0,0,0,1,1,1,DEF
192476,6,ATK,DEF,1,4,100,0,21850,21400,1,1,0,2,0,2,2,1,ATK
192476,6,ATK,DEF,1,4,79,0,21850,21400,1,0,0,2,0,2,2,1,ATK
192476,6,ATK,DEF,1,4,78,0,21850,21400,1,0,0,2,0,2,2,0,ATK
192476,6,ATK,DEF,1,4,76,0,21850,21400,1,0,0,2,0,1,2,0,ATK
192476,6,ATK,DEF,1,4,72,0,21850,21400,1,0,0,2,0,1,1,0,ATK
192476,6,ATK,DEF,1,4,45,1,21850,21400,1,0,0,2,0,1,1,0,ATK
192476,6,ATK,DEF,1,4,21,1,21850,21400,0,0,0,2,0,1,1,0,ATK
192476,6,ATK,DEF,1,4,21,1,21850,21400,0,0,0,2,0,1,0,0,ATK
192476,7,ATK,DEF,2,4,100,0,22950,19650,1,1,0,2,0,2,2,1,DEF
192476,7,ATK,DEF,2,4,11,0,22950,19650,1,1,0,2,0,2,2,1,DEF
192476,7,ATK,DEF,2,4,9,0,22950,19650,1,1,0,1,0,2,2,1,DEF
192476,7,ATK,DEF,2,4,8,0,22950,19650,1,1,0,1,0,1,2,1,DEF
192476,7,ATK,DEF,2,4,7,0,22950,19650,0,1,0,1,0,1,2,1,DEF
192476,7,ATK,DEF,2,4,45,1,22950,19650,0,1,0,1,0,1,2,1,DEF
192476,7,ATK,DEF,2,4,44,1,22950,19650,0,1,0,0,0,1,2,1,DEF
192476,7,ATK,DEF,2,4,44,1,22950,19650,0,0,0,0,0,1,2,1,DEF
192476,7,ATK,DEF,2,4,33,1,22950,19650,0,0,0,0,0,1,2,1,DEF
192476,8,ATK,DEF,2,5,100,0,11850,23000,1,1,0,2,0,2,2,1,DEF
192476,8,ATK,DEF,2,5,86,0,11850,23000,0,1,0,2,0,2,2,1,DEF
192476,8,ATK,DEF,2,5,86,0,11850,23000,0,1,0,1,0,2,2,1,DEF
192476,8,ATK,DEF,2,5,85,0,11850,23000,0,1,0,1,0,2,1,1,DEF
192476,8,ATK,DEF,2,5,84,0,11850,23000,0,0,0,1,0,2,1,1,DEF
192476,8,ATK,DEF,2,5,76,0,11850,23000,0,0,0,1,0,2,1,1,DEF
192476,8,ATK,DEF,2,5,73,0,11850,23000,0,0,0,0,0,2,1,1,DEF
192476,9,ATK,DEF,2,6,100,0,21750,23600,1,1,0,2,0,2,2,1,ATK
192476,9,ATK,DEF,2,6,79,0,21750,23600,1,1,0,2,0,2,2,1,ATK
192476,9,ATK,DEF,2,6,78,0,21750,23600,1,1,0,2,0,2,1,1,ATK
192476,9,ATK,DEF,2,6,45,1,21750,23600,1,1,0,2,0,2,1,1,ATK
192476,9,ATK,DEF,2,6,33,1,21750,23600,1,1,0,2,0,2,1,0,ATK
192476,9,ATK,DEF,2,6,28,1,21750,23600,1,1,0,2,0,1,1,0,ATK
192476,9,ATK,DEF,2,6,19,1,21750,23600,1,1,0,2,0,1,0,0,ATK
192476,9,ATK,DEF,2,6,10,1,21750,23600,1,1,0,2,0,0,0,0,ATK
192476,10,ATK,DEF,3,6,100,0,22350,24400,1,1,0,2,0,2,2,1,DEF
192476,10,ATK,DEF,3,6,76,0,22350,24400,1,1,0,2,0,2,2,0,DEF
192476,10,ATK,DEF,3,6,73,0,22350,24400,1,1,0,2,0,2,2,0,DEF
192476,10,ATK,DEF,3,6,70,0,22350,24400,1,0,0,2,0,2,2,0,DEF
192476,10,ATK,DEF,3,6,60,0,22350,24400,1,0,0,2,0,2,1,0,DEF
192476,10,ATK,DEF,3,6,59,0,22350,24400,0,0,0,2,0,2,1,0,DEF
192476,10,ATK,DEF,3,6,57,0,22350,24400,0,0,0,2,0,1,1,0,DEF
192476,10,ATK,DEF,3,6,43,0,22350,24400,0,0,0,1,0,1,1,0,DEF
192476,10,ATK,DEF,3,6,39,0,22350,24400,0,0,0,0,0,1,1,0,DEF
192476,11,ATK,DEF,3,7,100,0,12000,25050,1,1,0,2,0,2,2,1,DEF
192476,11,ATK,DEF,3,7,79,0,12000,25050,0,1,0,2,0,2,2,1,DEF
192476,11,ATK,DEF,3,7,78,0,12000,25050,0,1,0,1,0,2,2,1,DEF
192476,11,ATK,DEF,3,7,78,0,12000,25050,0,1,0,1,0,2,2,1,DEF
192476,11,ATK,DEF,3,7,70,0,12000,25050,0,1,0,1,0,1,2,1,DEF
192476,11,ATK,DEF,3,7,68,0,12000,25050,0,0,0,1,0,1,2,1,DEF
192476,11,ATK,DEF,3,7,63,0,12000,25050,0,0,0,0,0,1,2,1,DEF
192476,12,ATK,DEF,3,8,100,0,21050,25650,1,1,0,2,0,2,2,1,ATK
192476,12,ATK,DEF,3,8,81,0,21050,25650,1,1,0,2,0,2,1,1,ATK
192476,12,ATK,DEF,3,8,80,0,21050,25650,1,1,0,2,0,2,0,1,ATK
192476,12,ATK,DEF,3,8,77,0,21050,25650,1,1,0,2,0,2,0,1,ATK
192476,12,ATK,DEF,3,8,76,0,21050,25650,1,1,0,2,0,1,0,1,ATK
192476,12,ATK,DEF,3,8,45,1,21050,25650,1,1,0,2,0,1,0,1,ATK
192476,12,ATK,DEF,3,8,23,1,21050,25650,1,1,0,1,0,1,0,1,ATK
192476,12,ATK,DEF,3,8,20,1,21050,25650,0,1,0,1,0,1,0,1,ATK
192476,12,ATK,DEF,3,8,17,1,21050,25650,0,1,0,1,0,0,0,1,ATK
192476,12,ATK,DEF,3,8,17,1,21050,25650,0,1,0,0,0,0,0,1,ATK
192476,12,ATK,DEF,3,8,11,1,21050,25650,0,1,0,0,0,0,0,0,ATK
192476,13,DEF,ATK,8,4,100,0,4150,3700,0,2,2,1,1,1,0,2,DEF
192476,13,DEF,ATK,8,4,72,0,4150,3700,0,2,2,0,1,1,0,2,DEF
192476,13,DEF,ATK,8,4,71,0,4150,3700,0,2,2,0,1,0,0,2,DEF
192476,13,DEF,ATK,8,4,71,0,4150,3700,0,1,2,0,1,0,0,2,DEF
192476,13,DEF,ATK,8,4,68,0,4150,3700,0,1,2,0,1,0,0,2,DEF
192476,13,DEF,ATK,8,4,65,0,4150,3700,0,1,1,0,1,0,0,2,DEF
192476,13,DEF,ATK,8,4,63,0,4150,3700,0,1,1,0,0,0,0,2,DEF
192476,13,DEF,ATK,8,4,62,0,4150,3700,0,1,0,0,0,0,0,2,DEF
192476,13,DEF,ATK,8,4,52,0,4150,3700,0,0,0,0,0,0,0,2,DEF
192476,14,DEF,ATK,8,5,100,0,4150,16950,0,2,2,1,1,1,0,2,DEF
192476,14,DEF,ATK,8,5,78,0,4150,16950,0,2,2,1,1,1,0,2,DEF
192476,14,DEF,ATK,8,5,57,0,4150,16950,0,2,2,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,49,0,4150,16950,0,1,2,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,45,0,4150,16950,0,1,1,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,43,0,4150,16950,0,0,1,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,45,1,4150,16950,0,0,1,1,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,28,1,4150,16950,0,0,1,0,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,19,1,4150,16950,0,0,0,0,1,1,0,1,DEF
192476,14,DEF,ATK,8,5,8,1,4150,16950,0,0,0,0,1,1,0,1,DEF
192476,15,DEF,ATK,8,6,100,0,19700,13300,0,2,2,1,1,1,0,2,DEF
192476,15,DEF,ATK,8,6,87,0,19700,13300,0,1,2,1,1,1,0,2,DEF
192476,15,DEF,ATK,8,6,34,0,19700,13300,0,1,2,1,1,1,0,1,DEF
